,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
0,website,openeuler/website,This is the openeuler website repository the deliver address is:  https://openeuler.org,38,27,14,14
1,infrastructure,openeuler/infrastructure,This repository contains the scripts which can be used to manage the commuity basic resources.,71,25,42,52
2,gitbook-theme-hugo,openeuler/gitbook-theme-hugo,This is custom gitbook theme for hugo template.,0,4,38,1
3,docs,openeuler/docs,"This is openEuler documentation repository,",128,67,56,43
4,community,openeuler/community,Community governance is listed in the repository.,503,183,107,333
5,ci-bot,openeuler/ci-bot,This repository is used to address the code of openEuler ci bot.,23,21,14,8
6,go-gitee,openeuler/go-gitee,go-gitee is the go sdk of gitee api.,17,20,15,1
7,openeuler-jenkins,openeuler/openeuler-jenkins,This repository is used to store the jenkins scripts in openEuler community.,21,8,39,5
8,integration-test,openeuler/integration-test,It is used to store the integration test in openEuler community,45,13,16,15
9,community-issue,openeuler/community-issue,不知道在哪个项目中提issue？来这里。The public issue repo which only accept issues whose repos are not clear.,0,20,15,116
10,iSulad,openeuler/iSulad,iSulad is a light weight container runtime daemon which is designed for IOT and Cloud infrastructure.,150,307,69,13
11,lcr,openeuler/lcr,lcr(Lightweight Container Runtime) is CLI tool for spawning and running containers according to OCI specification. It is based on liblxc and written by C,19,13,7,3
12,iSulad-img,openeuler/iSulad-img,This is a command line utility used by iSulad to performs various operations on container images. iSulad-img is used to pull image from image repositories and prepare the read\write layers for containers.,10,13,6,2
13,clibcni,openeuler/clibcni,"clibcni is a library used by iSulad to configure network interfaces in containers, following the specification of CNI (Container Network Interface), a Cloud Native Computing Foundation project.",7,8,6,2
14,A-Tune,openeuler/A-Tune,A-Tune is an OS tuning engine based on AI.,108,230,52,16
15,kae_driver,openeuler/kae_driver,,1,0,132,0
16,libkae,openeuler/libkae,,2,0,133,0
17,libwd,openeuler/libwd,,2,0,133,0
18,prefetch_tuning,openeuler/prefetch_tuning,This module is based on Kunpeng chip and provides some performance-sensitive chip parameters for adjustment.,4,4,8,0
19,kernel,openeuler/kernel,openEuler 内核是 openEuler操作系统的核心，是系统性能和稳定性的基础，是链接芯片、设备与业务的桥梁。openEuler 内核致力于打造成最具活力的产业Linux平台，成为信息产业基础设施的可靠基石。,317,652,204,126
20,tool-collections,openeuler/tool-collections,A collection of infrastructure tools,3,3,10,0
21,blog,openeuler/blog,Blog project is used to house the blogs that related openEuler community.,13,1,16,5
22,security-committee,openeuler/security-committee,the Repository of Security Committee,9,6,8,5
23,mate-desktop,openeuler/mate-desktop,It provides an intuitive and attractive desktop environment using traditional metaphors,1,2,4,3
24,libboundscheck,openeuler/libboundscheck,,14,31,14,0
25,raspberrypi,openeuler/raspberrypi,It provides scripts for building openEuler image on Raspberry Pi and documents,23,41,14,11
26,raspberrypi-kernel,openeuler/raspberrypi-kernel,It provides openEuler kernel source for Raspberry Pi,13,15,6,3
27,ha-api,openeuler/ha-api,API interface for HA management,13,3,10,4
28,pacemaker-mgmt,openeuler/pacemaker-mgmt,Management Console for Pacemaker,2,0,8,1
29,ha-web,openeuler/ha-web,Web Interface for HA management,4,1,9,2
30,ros,openeuler/ros,It provides ROS source for openEuler,10,5,5,25
31,compass-ci,openeuler/compass-ci,Compass CI,28,32,17,21
32,openEuler-Advisor,openeuler/openEuler-Advisor,Collection of automation tools for easily maintaining openEuler,100,19,18,32
33,avocado,openeuler/avocado,Avocado is a set of tools and libraries to help with automated testing. One can call it a test framework with benefits,6,5,5,1
34,avocado-vt,openeuler/avocado-vt,"Avocado-VT is a compatibility plugin that lets you execute virtualization related tests, with all conveniences provided by Avocado",12,13,19,4
35,EulerRobot,openeuler/EulerRobot,"A virtualized automated test project, integrated compilation test, UT test, smoke test, Avocado-VT test,etc.",3,2,11,0
36,QA,openeuler/QA,"QA repo provides rules about how QA team runs and how contributors to this project, also includes test cases and framework",29,15,18,4
37,tp-libvirt,openeuler/tp-libvirt,Libvirt test provider for virtualization test. It contains a lot of test cases related to such as libvirt/libguestfs.,7,6,15,0
38,tp-qemu,openeuler/tp-qemu,Qemu test provider for virtualization test. It contains a lot of test cases related to such as qemu/openvswitch/virtualization backed,10,7,14,0
39,oec-hardware,openeuler/oec-hardware,Use for check hardware compatibility with openEuler,13,2,6,20
40,oec-application,openeuler/oec-application,Use for check application compatibility with openEuler,3,0,3,4
41,abichecker,openeuler/abichecker,An abi checker tool,2,0,10,1
42,openEuler-bootstrap,openeuler/openEuler-bootstrap,Build new openEuler architecture bootstrap rpms from scratch,1,1,10,1
43,marketing,openeuler/marketing,Collections of marketing events proposals and materials,5,16,8,100
44,pyporter,openeuler/pyporter,A rpm packager bot for python modules from pypi.org,27,12,12,2
45,iSula-libutils,openeuler/iSula-libutils,,5,0,1,0
46,RISC-V,openeuler/RISC-V,Tools scripts for auto-building openEuler SRPMs for RISC-V,18,17,12,26
47,android-emulator,openeuler/android-emulator,An Android emulator is software which simulates the functionality of an Android device running the Android OS. Emulator allows developers to develop and test applications without the need of various real devices with different configurations,0,0,3,1
48,anbox,openeuler/anbox,A free and open-source compatibility layer that aims to allow mobile applications and mobile games developed for Android to run on GNU/Linux distributions,61,57,9,1
49,openEuler-pkginfo,openeuler/openEuler-pkginfo,Collection of query tools for easily maintaining openEuler,1,0,11,0
50,release-management,openeuler/release-management,"release management including key features, release plan, development and branch plan, release scope and notes ",37,13,13,217
51,perlporter,openeuler/perlporter,perl pacaking automation tool,20,0,11,4
52,compiler-test,openeuler/compiler-test,"Compiler-test repo contains functional test suites for two components: gcc and openjdk, including dejagnu, jtreg, etc",2,1,10,0
53,container-test,openeuler/container-test,The pubilc repo stores the source of container test-cases,0,0,8,0
54,test-tools,openeuler/test-tools,The repo contains tools for improve test efficiency,22,9,10,4
55,package-reinforce-test,openeuler/package-reinforce-test,The repo contains test suites in order to improve test coverage for key packages,4,7,8,0
56,auto_py2to3,openeuler/auto_py2to3,The ultimate purpose of the library is to enable automated and rapid code migration and provide automated testing.,1,2,10,0
57,pkgporter,openeuler/pkgporter,"A rpm packager automation bot for perl, python and so on",6,1,11,2
58,redf,openeuler/redf,Reliable enterprise data fabric for nvme over fabric,4,2,4,0
59,sig-desktop-apps,openeuler/sig-desktop-apps,The public repo to store personal desktop application.,1,0,1,0
60,authz,openeuler/authz,An authorization plugin for iSulad.,0,0,6,0
61,syscontainer-tools,openeuler/syscontainer-tools,A syscontainer tool work with isulad with hook support and provides enhanced functions.,2,0,5,0
62,lxcfs-tools,openeuler/lxcfs-tools,A toolkit for lxcfs to remount FUSE filesystem to syscontainer.,1,0,5,0
